[
			[0,19,0,2,15,0,15,2,0,0,0,],
			[3,0,5,2,14,0,14,2,5,0,3,],
			[0,0,0,2,0,4,0,2,0,10,0,],
			[2,6,2,2,2,21,2,2,2,6,2,],
			[0,12,0,6,0,0,0,0,0,0,0,],
			[0,0,0,2,2,2,2,2,2,2,2,],
			[11,0,3,0,0,0,0,0,0,0,0,],
			[6,2,2,6,2,2,2,6,2,2,6,],
			[0,2,0,10,0,2,14,12,5,2,0,],
			[0,2,9,0,3,2,0,0,0,2,1,],
			[7,2,3,9,0,2,0,0,0,2,8,],
		],[
			[0,0,0,2,0,0,6,4,0,3,19,],
			[0,31,0,2,0,25,2,0,0,0,5,],
			[0,0,0,2,6,2,2,2,2,2,26,],
			[2,22,2,2,0,0,2,0,0,2,0,],
			[0,18,0,2,0,0,6,0,0,2,0,],
			[0,0,0,2,2,2,2,0,0,2,0,],
			[0,24,0,0,0,0,6,0,0,2,0,],
			[2,21,2,2,2,2,2,2,2,2,0,],
			[0,26,0,25,6,0,0,0,0,10,0,],
			[3,0,0,0,2,1,2,2,6,2,0,],
			[3,3,3,3,2,8,2,5,25,2,7,],
		],[
			[14,14,14,2,5,14,5,2,5,5,5,],
			[15,15,15,2,0,2,0,2,0,0,0,],
			[29,0,0,2,28,0,27,2,0,0,25,],
			[6,2,2,2,2,6,2,2,2,2,6,],
			[0,0,0,6,0,27,0,2,5,0,25,],
			[6,2,2,2,0,0,27,6,0,15,0,],
			[3,3,0,2,0,0,0,2,3,0,14,],
			[3,19,28,2,2,2,2,2,21,2,6,],
			[2,2,6,2,2,2,2,2,26,0,27,],
			[2,2,6,2,5,3,5,2,2,0,2,],
			[7,0,0,10,0,0,0,10,0,1,8,],
		],
